No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3
1,0,ONGKOS KIRIM,0,MISC,MISC,___,___,___
2,1,_______,0,MISC,MISC,___,___,___
3,2,________,0,MISC,MISC,___,___,___
4,10001,ADEM SARI,0,MINUMAN,MIN,PRES,PRES,DOS
5,10002,AGAR KERETA KENCANA MR,0,JELLY,JELLY,BKS,KTK,DOS
6,10003,AGAR KERETA KENCANA HJ,0,JELLY,JELLY,BKS,KTK,DOS
7,10004,AGAR KERETA KENCANA PTH,0,JELLY,JELLY,BKS,KTK,DOS
8,10005,AGAR KERETA KENCANA CKLT,0,JELLY,JELLY,BKS,KTK,DOS
9,10006,AGAR LOS FUJI,0,BAHAN KUE,BHNK,ONS,KG,KG
10,10007,AGAR SRITI SUPER MR,0,JELLY,JELLY,BKS,KTK,DOS
11,10008,AGAR SRITI SUPER HJ,0,JELLY,JELLY,BKS,KTK,DOS
12,10009,AGAR SRITI SUPER PTH,0,JELLY,JELLY,BKS,KTK,DOS
13,10010,AGAR SRITI SUPER CKLT,0,JELLY,JELLY,BKS,KTK,DOS
14,10011,AGAR SRITI SY MR,0,JELLY,JELLY,BKS,KTK,DOS
15,10012,AGAR SRITI SY HJ,0,JELLY,JELLY,BKS,KTK,DOS
16,10013,AGAR SRITI SY PTH,0,JELLY,JELLY,BKS,KTK,DOS
17,10014,AGAR SRITI SY CKLT,0,JELLY,JELLY,BKS,KTK,DOS
18,10015,AJINO 1/4KG,0,MSG,MSG,BKS,PRES,DOS
19,10016,AJINO 1KG HALUS,0,BUMBU,BUMBU,BKS,BKS,DOS
20,10017,AJINO 50GR,0,MSG,MSG,BKS,PRES,DOS
21,10018,AJINO HIJAU XXXXXXXX,0,MSG,MSG,RTG,PRES,DOS
22,10019,AJINO P 500 XXXXXX,0,MSG,MSG,PRES,PRES,DOS
23,10020,AJINO P1000,0,MSG,MSG,BKS,PRES,DOS
24,10021,ALPINA,0,TEPUNG,TEPUNG,ONS,ONS,KG
25,10022,AMH JAHE SUPER,0,MINUMAN,MIN,RTG,RTG,DOS
26,10023,AQUA 1500ML,0,MINUMAN,MIN,BTL,BTL,DOS
27,10024,AQUA 330ML,0,MINUMAN,MIN,DOS,DOS,DOS
28,10025,AQUA 600ML,0,MINUMAN,MIN,BTL,BTL,DOS
29,10026,AQUA GLS,0,MINUMAN,MIN,DOS,DOS,DOS
30,10027,ARAK MASAK GENTONG,0,BUMBU,BUMBU,BTL,LOS,DOS
31,10028,ATTACK 800GR,0,DETERGEN,DET,BKS,BKS,DOS
32,10029,ATTACK EASY 700GR,0,DETERGEN,DET,BKS,BKS,DOS
33,10030,ATTACK EASY CAIR 42ML,0,DETERGEN,DET,LSN,LSN,DOS
34,10031,ATTACK JAZ1 60GR,0,DETERGEN,DET,RTG,LSN,DOS
35,10032,ATTACK JAZ1 900GR,0,DETERGEN,DET,BKS,BKS,DOS
36,10033,ATTACK SOFT EASY SC 50GR,0,DETERGEN,DET,RTG,LSN,DOS
37,10034,AUTAN SC,0,LOTION,LOT,RTG,PRES,DOS
38,10035,AXXXXXXXX,0,,,KG,KG,KG
39,10036,AXXXXXXXXXXX,0,,,PCS,PRES,DOS
40,10037,AJINO 100gr Rp 5000an,0,,,PCS,PRES,DOS
41,10038,ALAMI,0,,,PRES,PRES,PRES
42,10039,AQUVIVA 250ML,0,,,KRAT,KRAT,KRAT
43,10040,AQUVIVA 700ML,0,,,BTL,BTL,KRAT
44,10041,AQUVIVA 1600ML,0,,,BTL,BTL,KRAT
45,10042,A________,0,,,PCS,PCS,PCS
46,10043,A________,0,,,PCS,PCS,PCS
47,10044,A________,0,,,PCS,PCS,PCS
48,20001,BABY HAPPY M,0,MISC,MISC,RTG,RTG,DOS
49,20002,BABY HAPPY L,0,MISC,MISC,RTG,RTG,DOS
50,20003,BABY HAPPY XL,0,MISC,MISC,RTG,RTG,DOS
51,20005,BAKING POWDER,0,BAHAN KUE,BHNK,ONS,KG,ZAK
52,20006,BAKING POWDER RW,0,BAHAN KUE,BHNK,PRES,PRES,PRES
53,20008,BATERAI ABC K.,0,MISC,MISC,IKT,KTK,DOS
54,20009,BATERAI ABC REMOTE,0,MISC,MISC,PCS,IKT,LSN
55,20010,BATERAI ABC T.,0,MISC,MISC,BIJI,BIJI,IKT
56,20011,BAWANG BOMBAY,0,PALAWIJA,PLWJ,KG,KG,ZAK
57,20012,BAWANG KATING,0,PALAWIJA,PLWJ,ONS,LOS,KG
58,20013,BAYGON BAKAR K,0,MISC,MISC,KTK,KTK,DOS
59,20014,BAYGON BAKAR LAVENDER,0,MISC,MISC,KTK,KTK,DOS
60,20015,BEAR BRAND,0,SUSU,SUSU,KLG,KLG,DOS
61,20016,BENDERA CKLT SC.,0,SUSU,SUSU,PRES,PRES,DOS
62,20017,BENDERA KLG CKLT,0,SUSU,SUSU,KLG,KLG,DOS
63,20018,BENDERA KLG PTH,0,SUSU,SUSU,KLG,KLG,DOS
64,20019,BENDERA PTH SC.,0,SUSU,SUSU,PRES,PRES,DOS
65,20020,BENDERA SKM POUCH 200ML,0,SUSU,SUSU,PCS,PCS,DOS
66,20021,BENDERA SKM POUCH 560ML,0,SUSU,SUSU,PCS,PCS,DOS
67,20022,B CHOCODRINK CHOCOlatos WING 2+1,0,MINUMAN,MIN,RTG,RTG,DOS
68,20023,BENZOAT,0,BAHAN KUE,BHNK,Ons,KG,KG
69,20024,BERAS 10KG BINTANG BIRU,0,BERAS,BERAS,BKS,BKS,BKS
70,20025,BERAS 10KG LAHAP,0,BERAS,BERAS,ZAK,ZAK,ZAK
71,20026,BERAS 10KG MELON SUPER,0,BERAS,BERAS,BKS,BKS,BKS
72,20027,BE XXXXXXXXX,0,BERAS,BERAS,BKS,BKS,BKS
73,20028,BERAS 10 KG LOMBOK,0,BERAS,BERAS,BKS,BKS,BKS
74,20029,BERAS 10 KG ________,0,BERAS,BERAS,BKS,BKS,BKS
75,20030,BERAS 5KG BINTANG BIRU,0,BERAS,BERAS,BKS,LOS,ZAK
76,20031,BERAS 5KG LAHAP,0,BERAS,BERAS,BKS,LOS,BKS
77,20032,BERAS 5KG MELON,0,BERAS,BERAS,BKS,LOS,BKS
78,20033,BERAS 5KG MENTARI,0,BERAS,BERAS,BKS,LOS,BKS
79,20034,BERAS 5KG madinah,0,BERAS,BERAS,BKS,LOS,BKS
80,20035,BERAS 5KG SPHP,0,BERAS,BERAS,BKS,BKS,ZAK
81,20036,BERAS 5KG kecombrang,0,BERAS,BERAS,BKS,BKS,ZAK
82,20037,BERAS 25KG BINTANG BIRU,0,BERAS,BERAS,KG,KG,ZAK
83,20038,BERAS 25KG PAK TANI,0,BERAS,BERAS,ZAK,ZAK,ZAK
84,20039,BERAS JAGUNG,0,PALAWIJA,PLWJ,KG,LOS,ZAK
85,20040,BERAS 25KG KEONG MAS,0,BERAS,BERAS,KG,KG,ZAK
86,20041,BERAS 25KG MANALAGI,0,BERAS,BERAS,KG,KG,ZAK
87,20042,BERAS 25KG MELON SUPER,0,BERAS,BERAS,KG,KG,ZAK
88,20043,BERAS 25KG MENTARI,0,BERAS,BERAS,KG,KG,ZAK
89,20044,BERAS 25KG anak tani,0,BERAS,BERAS,KG,KG,ZAK
90,20045,BERAS 25KG LAHAP,0,BERAS,BERAS,KG,KG,ZAK
91,20046,BERAS 25KG kecombrang,0,BERAS,BERAS,KG,KG,ZAK
92,20047,BERAS 25KG ________,0,BERAS,BERAS,KG,KG,ZAK
93,20048,BIHUN JAGUNG PADAMU KN.,0,MIHUN,MIHUN,BKS,LOS,BAL
94,20049,BIHUN JAGUNG PADAMU MR,0,MIHUN,MIHUN,BKS,LOS,BAL
95,20050,BIHUN JAGUNG PADAMU OR.,0,MIHUN,MIHUN,BKS,RTG,BAL
96,20051,BIO 200GR,0,MSG,MSG,BKS,PRES,DOS
97,20052,xxx BIO 40GR,0,MSG,MSG,BKS,PRES,DOS
98,20053,BIO P1000,0,MSG,MSG,BKS,PRES,DOS
99,20054,BI XXXXXXXXX,0,MSG,MSG,RTG,PRES,DOS
100,20055,BON CABE LV 15 / 30,0,POWDER,PWDR,RTG,PRES,DOS
