,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3,Satuan 4,Konversi 1,Konversi 2,Konversi 3,Konversi 4,Satuan Beli,Satuan Jual,Default Qty Jual,PPN,Keterangan,HJ 1 - Satuan 1,HJ 2 - Satuan 1,HJ 3 - Satuan 1,HJ 1- Satuan 2,HJ 2- Satuan 2,HJ 3- Satuan 2,HJ 1 - Satuan 3,HJ 2 - Satuan 3,HJ 3 - Satuan 3,HJ 1 - Satuan 4,HJ 2 - Satuan 4,HJ 3 - Satuan 4,Harga Perolehan,Harga Beli
1,0,ONGKOS KIRIM,0,MISC,MISC,___,___,___,,1,1,1,0,3,1,0,0,,5000,0,0,10000,0,0,15000,0,0,0,0,0,-3801.76,4000
2,1,_______,0,MISC,MISC,___,___,___,,1,1,1,0,1,1,0,0,,10500,0,0,9700,0,0,100,0,0,0,0,0,65705.42,168653
3,2,________,0,MISC,MISC,___,___,___,,1,1,1,0,1,1,0,0,,167500,0,0,92500,0,0,100,0,0,0,0,0,121.96,351036
4,10001,ADEM SARI,0,MINUMAN,MINUMAN,PRES,PRES,DOS,,1,1,24,0,3,1,0,0,,50000,0,0,50000,0,0,1185000,0,0,0,0,0,46944.49,46800
5,10002,AGAR KERETA KENCANA MR,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,2000,0,0,20000,18500,0,430000,425000,0,0,0,0,1412.89,1421.44
6,10003,AGAR KERETA KENCANA HJ,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,2000,0,0,20000,18500,0,430000,425000,0,0,0,0,1404.94,1421.44
7,10004,AGAR KERETA KENCANA PTH,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,2000,0,0,20000,18500,0,430000,425000,0,0,0,0,1421.44,1421.44
8,10005,AGAR KERETA KENCANA CKLT,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,2000,0,0,20000,18500,0,430000,425000,0,0,0,0,1413.98,1421.44
9,10006,AGAR LOS FUJI,0,MISC,BAHAN KUE,ONS,KG,KG,,1,10,10,0,3,1,0,0,,35000,0,0,225000,218000,0,225000,218000,0,0,0,0,21064.09,21000
10,10007,AGAR SRITI SUPER MR,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,4250,0,0,44500,43500,0,1050000,1035000,0,0,0,0,3439.7,3537.19
11,10008,AGAR SRITI SUPER HJ,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,4250,0,0,44500,43500,0,1050000,1035000,0,0,0,0,3529.48,3537.19
12,10009,AGAR SRITI SUPER PTH,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,4250,0,0,44500,43500,0,1050000,1035000,0,0,0,0,14.87,3537.19
13,10010,AGAR SRITI SUPER CKLT,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,4250,0,0,44500,43500,0,1050000,1035000,0,0,0,0,3481.97,3537.19
14,10011,AGAR SRITI SY MR,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,2500,0,0,26000,25000,0,602500,595000,0,0,0,0,34.62,2009.63
15,10012,AGAR SRITI SY HJ,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,2500,0,0,26000,25000,0,602500,595000,0,0,0,0,2012.22,2009.63
16,10013,AGAR SRITI SY PTH,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,2500,0,0,26000,25000,0,602500,595000,0,0,0,0,2000.57,2009.63
17,10014,AGAR SRITI SY CKLT,0,MISC,BAHAN KUE,BKS,KTK,DOS,,1,12,288,0,3,2,0,0,,2500,0,0,26000,25000,0,602500,595000,0,0,0,0,2009.62,2009.63
18,10015,AJINO 1/4KG,0,MSG,MSG,BKS,PRES,DOS,,1,10,80,0,3,2,0,0,,12000,0,0,117500,0,0,925000,0,0,0,0,0,11293.75,11293.75
19,10016,AJINO 1KG HALUS,0,MSG,MSG,BKS,BKS,DOS,,1,1,20,0,3,1,0,0,,46000,0,0,45500,0,0,880000,0,0,0,0,0,42499.99,42500
20,10017,AJINO 50GR,0,MSG,MSG,BKS,PRES,DOS,,1,20,240,0,3,2,0,0,,3000,0,0,52500,0,0,615000,0,0,0,0,0,2462.5,2462.5
21,10020,AJINO P1000,0,MSG,MSG,BKS,PRES,DOS,,1,20,360,0,3,2,0,0,,1000,0,0,17500,0,0,305000,0,0,0,0,0,830.01,830
22,10021,ALPINA,0,TEPUNG,TEPUNG,ONS,ONS,KG,,1,1,10,0,3,3,0,0,,7000,0,0,7000,0,0,65000,0,0,0,0,0,5000,5000
