Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
1,010001 - ADEM SARI,77,PRES,,,
2,010045 - AGAR AGAR MURNI BAKULAN,6,ONS,,,
3,010005 - AGAR KERETA KENCANA CKLT,2928,BKS,,,
4,010003 - AGAR KERETA KENCANA HJ,7392,BKS,,,
5,010002 - AGAR KERETA KENCANA MR,7740,BKS,,,
6,010004 - AGAR KERETA KENCANA PTH,15732,BKS,,,
7,010006 - AGAR LOS FUJI,938,ONS,,,
8,010010 - AGAR SRITI SUPER CKLT,1464,BKS,,,
9,010008 - AGAR SRITI SUPER HJ,4920,BKS,,,
10,010007 - AGAR SRITI SUPER MR,4307,BKS,,,
11,010009 - AGAR SRITI SUPER PTH,10964,BKS,,,
12,010014 - AGAR SRITI SY CKLT,2556,BKS,,,
13,010012 - AGAR SRITI SY HJ,14051,BKS,,,
14,010011 - AGAR SRITI SY MR,13970,BKS,,,
15,010013 - AGAR SRITI SY PTH,11899,BKS,,,
16,010015 - AJINO 1/4KG,386,BKS,,,
17,010037 - AJINO 100gr Rp 5000an,294,PCS,,,
18,010016 - AJINO 1KG HALUS,344,BKS,,,
19,010017 - AJINO 50GR,934,BKS,,,
20,010020 - AJINO P1000,7180,BKS,,,
21,010038 - ALAMI,0,PRES,,,
22,010021 - ALPINA xxx,0,ONS,,,
23,010022 - AMH JAHE SUPER,71,RTG,,,
24,010023 - AQUA 1500ML,69,BTL,,,
25,010024 - AQUA 330ML xxx,0,DOS,,,
26,010025 - AQUA 600ML,184,BTL,,,
27,010026 - AQUA GLS,1,DOS,,,
28,010041 - AQUVIVA 1600ML,64,BTL,,,
29,010039 - AQUVIVA 250ML,14,KRAT,,,
30,010040 - AQUVIVA 700ML,378,BTL,,,
31,010027 - ARAK MASAK GENTONG,11,BTL,,,
32,010029 - ATTACK EASY 700GR xxxxx,0,BKS,,,
33,010030 - ATTACK EASY CAIR 42ML xxxxx,0,LSN,,,
34,010031 - ATTACK JAZ1 45GR xxxxx,0,RTG,,,
35,010032 - ATTACK JAZ1 900GR xxxxx,0,BKS,,,
36,010033 - ATTACK SOFT EASY SC 50GR xxxxx,0,RTG,,,
37,010034 - AUTAN SC,118,RTG,,,
38,010035 - AXXXXXXXX,0,KG,,,
39,010036 - AXXXXXXXXXXX,0,PCS,,,
40,010042 - A________,0,PCS,,,
41,010043 - A________,0,PCS,,,
42,010044 - A________,0,PCS,,,
43,020022 - B CHOCODRINK CHOCOlatos WING 2+1,9,RTG,,,
44,020002 - BABY HAPPY L,29,RTG,,,
45,020001 - BABY HAPPY M,50,RTG,,,
46,020003 - BABY HAPPY XL,64,RTG,,,
47,020005 - BAKING POWDER,676.5,ONS,,,
48,020006 - BAKING POWDER RW,26,PRES,,,
49,020008 - BATERAI ABC K.,207,IKT,,,
50,020009 - BATERAI ABC REMOTE,276,PCS,,,
51,020010 - BATERAI ABC T. xxx,0,BIJI,,,
52,020011 - BAWANG BOMBAY,199969,KG,,,
25/05/2026 15:20:20,,,,Halaman ke 1 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
,,19.64,,,,
53,020073 - BAWANG GORENG BJ 100GR,465,PCS,,,
54,020072 - BAWANG GORENG BJ 50gr,0,PCS,,,
55,020012 - BAWANG KATING,53531.5,ONS,,,
56,020070 - BAWANG SICO,818204,ONS,,,
,,8,,,,
57,020013 - BAYGON BAKAR K,114,KTK,,,
58,020014 - BAYGON BAKAR LAVENDER,66,KTK,,,
59,020027 - BE XXXXXXXXX,0,BKS,,,
60,020015 - BEAR BRAND,78,KLG,,,
61,020016 - BENDERA CKLT SC. xxx,0,PRES,,,
62,020017 - BENDERA KLG CKLT xxx,0,KLG,,,
63,020018 - BENDERA KLG PTH xxx,0,KLG,,,
64,020019 - BENDERA PTH SC. xxx,0,PRES,,,
65,020020 - BENDERA SKM POUCH 200ML xxx,0,PCS,,,
66,020021 - BENDERA SKM POUCH 560ML xxx,0,PCS,,,
